chr1	6000000	138000000	Suggestive	0	+	6000000	138000000	"0,0,0"	3	"1,2,1,"	"0,53000000,131999999,"
chr1	20871663	68723270	Suggestive	0	+	20871663	68723270	"255,0,0"	2	"1,1,"	"0,47851606,"
chr1	56000000	90000000	Suggestive	0	+	56000000	90000000	"0,0,0"	3	"1,2,1,"	"0,17000000,33999999,"
chr1	121000000	169000000	Ath43	0	+	121000000	169000000	"0,0,0"	3	"1,2,1,"	"0,18000000,47999999,"
chr1	1	37906000	me1	0	+	1	37906000	"0,0,0"	3	"1,2,1,"	"0,19292009,37905998,"
chr1	72000000	80000000	Ath30	0	+	72000000	80000000	"0,0,0"	3	"1,2,1,"	"0,3956444,7999999,"
chr1	135000000	161000000	Ath1	0	+	135000000	161000000	"0,0,0"	3	"1,2,1,"	"0,20924281,25999999,"
chr1	153000000	168000000	Ath44	0	+	153000000	168000000	"0,0,0"	3	"1,2,1,"	"0,5300000,14999999,"
chr1	157361794	192529115	Ath9	0	+	157361794	192529115	"0,0,0"	3	"1,2,1,"	"0,19923523,35167320,"
chr1	162000000	183000000	Suggestive	0	+	162000000	183000000	"0,0,0"	3	"1,2,1,"	"0,9000000,20999999,"
chr1	162250311	177269841	me1-2	0	+	162250311	177269841	"0,0,255"	2	"1,1,"	"0,15019529,"
chr1	172000000	193241301	Ath1	0	+	172000000	193241301	"0,0,0"	3	"1,2,1,"	"0,11092234,21241300,"
chr2	3886211	84817798	Ath47	0	+	3886211	84817798	"0,0,0"	3	"1,2,1,"	"0,30513789,80931586,"
chr2	45000000	130000000	Ath41	0	+	45000000	130000000	"0,0,0"	3	"1,2,1,"	"0,26964058,84999999,"
chr2	106000000	150000000	Ath46	0	+	106000000	150000000	"0,0,0"	3	"1,2,1,"	"0,33000000,43999999,"
chr2	115000000	150000000	Athla1	0	+	115000000	150000000	"0,0,0"	3	"1,2,1,"	"0,33680255,34999999,"
chr2	25000000	47000000	Ath39	0	+	25000000	47000000	"0,0,0"	3	"1,2,1,"	"0,13239859,21999999,"
chr2	139000000	173000000	Ath35	0	+	139000000	173000000	"0,0,0"	3	"1,2,1,"	"0,33000000,33999999,"
chr2	157000000	165000000	Ath45	0	+	157000000	165000000	"0,0,0"	3	"1,2,1,"	"0,5000000,7999999,"
chr2	174000000	180000000	Ath28	0	+	174000000	179000000	"0,0,0"	3	"1,2,1,"	"0,5574406,5999999,"
chr3	54000000	90000000	Ath23	0	+	54000000	90000000	"0,0,0"	3	"1,2,1,"	"0,12450410,35999999,"
chr4	9702715	107112550	Ath4	0	+	9702715	107112550	"0,0,0"	3	"1,2,1,"	"0,76747533,97409834,"
chr4	45658566	105299798	Ath8	0	+	45658566	105299798	"0,0,0"	3	"1,2,1,"	"0,13894091,59641231,"
chr4	63898275	129953782	me4	0	+	63898275	129953782	"0,0,0"	3	"1,2,1,"	"0,55823382,66055506,"
chr4	110000000	136927309	Athsq1	0	+	110000000	136927309	"0,0,0"	3	"1,2,1,"	"0,19572122,26927308,"
chr4	137890684	151570093	Athsq1	0	+	137890684	151570093	"0,0,0"	3	"1,2,1,"	"0,12035515,13679408,"
chr4	145000000	153000000	Athsq3	0	+	145000000	153000000	"0,0,0"	3	"1,2,1,"	"0,6077699,7999999,"
chr5	44971670	69163000	me5	0	+	44971670	69163000	"0,0,0"	3	"1,2,1,"	"0,16535017,24191329,"
chr5	65000000	92000000	Suggestive	0	+	65000000	92000000	"0,0,0"	3	"1,2,1,"	"0,12028226,26999999,"
chr5	130000000	149000000	Ath24	0	+	130000000	149000000	"0,0,0"	3	"1,2,1,"	"0,16583524,18999999,"
chr5	69163000	120578000	me5-2	0	+	69163000	120578000	"0,0,0"	3	"1,2,1,"	"0,39221913,51414999,"
chr5	99690738	124829348	Ath42	0	+	99690738	124829348	"0,0,0"	3	"1,2,1,"	"0,4660280,25138609,"
chr6	107795846	145656013	Artles	0	+	107795846	145656013	"0,0,0"	3	"1,2,1,"	"0,26057183,37860166,"
chr6	121115387	145656013	Athsq2	0	+	121115387	145656013	"0,0,0"	3	"1,2,1,"	"0,12967736,24540625,"
chr6	128519025	136316178	Ath38	0	+	128519025	136316178	"0,0,0"	3	"1,2,1,"	"0,5665794,7797152,"
chr6	116665031	128519025	Ath37	0	+	116665031	128519025	"0,0,0"	3	"1,2,1,"	"0,7803200,11853993,"
chr7	50000000	100000000	Ath31	0	+	50000000	100000000	"0,0,0"	3	"1,2,1,"	"0,24629649,49999999,"
chr7	54000000	91000000	Suggestive	0	+	54000000	91000000	"0,0,0"	3	"1,2,1,"	"0,24000000,36999999,"
chr7	55000000	97000000	Suggestive	0	+	55000000	97000000	"0,0,0"	3	"1,2,1,"	"0,23000000,41999999,"
chr8	21959500	71045600	Ath40	0	+	21959500	71045600	"0,0,0"	3	"1,2,1,"	"0,20976031,49086099,"
chr8	57763542	89351811	me8	0	+	57763542	89351811	"0,0,255"	2	"1,1,"	"0,31588268,"
chr9	32500594	68829021	Ath29	0	+	32500594	68829021	"0,0,0"	3	"1,2,1,"	"0,4632461,36328426,"
chr9	34067647	69831153	Ath29	0	+	34067647	69831153	"0,0,0"	3	"1,2,1,"	"0,10272379,35763505,"
chr9	45000000	89000000	Ath29	0	+	45000000	89000000	"0,0,0"	3	"1,2,1,"	"0,38693797,43999999,"
chr9	68829021	80091050	Ath29	0	+	68829021	80091050	"0,0,0"	3	"1,2,1,"	"0,5871622,11262028,"
chr9	80091050	96397888	Ath29	0	+	80091050	96397888	"0,0,0"	2	"1,1,"	"0,16306837,"
